koala,date,daily_dist_m,daily_dist_km
Aaliyah,2022-08-24,132.71920334789903,0.13271920334789902
Aaliyah,2022-08-25,272.7217234853431,0.27272172348534307
Aaliyah,2022-08-26,367.48846302697194,0.36748846302697197
Aaliyah,2022-08-27,412.0908724314239,0.4120908724314239
Aaliyah,2022-08-28,216.0683279736014,0.21606832797360143
Aaliyah,2022-08-29,204.06363838679866,0.20406363838679867
Aaliyah,2022-08-30,181.10361101654254,0.18110361101654254
Aaliyah,2022-08-31,520.2842225243595,0.5202842225243595
Aaliyah,2022-09-01,316.63541030887853,0.31663541030887854
Aaliyah,2022-09-02,143.2195202640734,0.1432195202640734
Aaliyah,2022-09-03,109.65081107169615,0.10965081107169615
