focal_koala,ts,other_name,other_file_uid,other_device_uid,rssi_dbm,behaviour
Emily,2025-04-15 10:38:36+00:00,Hannah,UO4JeHUxVEv63vnw,C1612010CBAF4F18,-92,
Georgia,2026-03-13 06:48:55+00:00,Sophie,sm_XDjGT5USjLD8m,C1612010A0B7B255,-43,
Georgia,2026-03-13 06:48:55+00:00,Kaelah,ij3a4ffXe_X2v3ob,C1612010E66E0C91,-21,
Georgia,2026-03-13 06:38:55+00:00,Blaise,fv09ZZRpUF9g2K1T,C1612010A1E09162,-40,
Georgia,2026-03-13 06:38:55+00:00,Aja,dIspzB2mmHhtXXhD,C1612010A8CE4731,-29,
Georgia,2026-03-13 05:58:54+00:00,Ollie,5l7YyTQeAzQaGTNp,C161201095828D05,-34,
Georgia,2026-03-13 05:48:54+00:00,Ned,VwBsAap7vZyZ4UL5,C1612010A51649EF,-47,
Georgia,2026-03-13 02:28:52+00:00,Lotus,qxRhNrgO_Z1JXNMl,C1612010E5AA0556,-45,
Georgia,2026-03-13 00:18:50+00:00,Annie,4yQn56IiUYYus6SW,C1612010759E9E2A,-56,
Georgia,2026-03-13 00:08:50+00:00,Aymeric,tSKTT6238ofKg3Q3,C1612010105EB6ED,-61,
Georgia,2026-03-12 22:48:49+00:00,Shinny,FJsyLYZTyUxCmF5w,C16120105756219F,-48,
Georgia,2026-03-12 01:58:34+00:00,Cameron,5DAWqLa9Xw4725Ie,C1612010B92FC4A4,-66,
Georgia,2026-03-11 06:08:21+00:00,Emily,bxLRr2bF1yroL9q_,C161201022CC9795,-58,
Georgia,2025-11-16 01:22:40+00:00,ShooShoo,rW8UmCvAsUE_mmMb,C1612010EDD05386,-82,
Georgia,2024-11-24 23:32:12+00:00,Hannah,UO4JeHUxVEv63vnw,C1612010CBAF4F18,-57,
Hannah,2026-03-14 04:24:58+00:00,Shinny,FJsyLYZTyUxCmF5w,C16120105756219F,-52,
Hannah,2026-03-14 03:51:22+00:00,Craig,HgtPir_hkhltDlXd,C16120101BFA4E3A,-74,
Hannah,2026-03-14 03:41:22+00:00,Cameron,5DAWqLa9Xw4725Ie,C1612010B92FC4A4,-73,
Hannah,2026-03-13 23:31:24+00:00,Kaelah,ij3a4ffXe_X2v3ob,C1612010E66E0C91,-88,
Hannah,2026-03-13 18:41:23+00:00,Sophie,sm_XDjGT5USjLD8m,C1612010A0B7B255,-83,
Hannah,2026-03-13 16:01:21+00:00,Emily,bxLRr2bF1yroL9q_,C161201022CC9795,-93,
Hannah,2024-11-24 23:23:34+00:00,Georgia,DTSrQRtagHBCFtM5,C16120107EE4A8B2,-61,
Hannah,2024-10-25 13:18:39+00:00,Ned,VwBsAap7vZyZ4UL5,C1612010A51649EF,-91,
Hannah,2024-06-06 05:50:13+00:00,Annie,4yQn56IiUYYus6SW,C1612010E2E5C38B,-87,
Henry,2025-08-14 18:58:42+00:00,Aymeric,tSKTT6238ofKg3Q3,C1612010105EB6ED,-82,
Immy,2025-02-04 22:14:01+00:00,Ned,VwBsAap7vZyZ4UL5,C1612010A51649EF,-62,
Immy,2025-01-27 12:55:46+00:00,Emily,bxLRr2bF1yroL9q_,C1612010CB3C458A,-71,
Immy,2025-01-24 10:13:18+00:00,Craig,HgtPir_hkhltDlXd,C16120101BFA4E3A,-82,
Immy,2024-12-12 00:28:58+00:00,Olivia,Jn9PHn4GV933Bv7x,C1612010CF772982,-93,
Izzy,2026-03-14 00:18:38+00:00,Cameron,5DAWqLa9Xw4725Ie,C1612010B92FC4A4,-64,
Izzy,2026-03-14 00:18:38+00:00,Craig,HgtPir_hkhltDlXd,C16120101BFA4E3A,-61,
Izzy,2026-03-14 00:08:38+00:00,Shinny,FJsyLYZTyUxCmF5w,C16120105756219F,-52,
Izzy,2026-03-13 23:48:38+00:00,Kaelah,ij3a4ffXe_X2v3ob,C1612010E66E0C91,-31,
Izzy,2026-03-13 23:18:38+00:00,Sophie,sm_XDjGT5USjLD8m,C1612010A0B7B255,-49,
Izzy,2026-03-13 23:08:38+00:00,Emily,bxLRr2bF1yroL9q_,C161201022CC9795,-45,
Izzy,2026-03-13 07:08:27+00:00,Aja,dIspzB2mmHhtXXhD,C1612010A8CE4731,-54,
Izzy,2026-03-13 06:08:27+00:00,Georgia,DTSrQRtagHBCFtM5,C16120107EE4A8B2,-55,
Izzy,2026-03-13 05:58:26+00:00,Lotus,qxRhNrgO_Z1JXNMl,C1612010E5AA0556,-59,
Izzy,2026-03-13 05:48:26+00:00,Ollie,5l7YyTQeAzQaGTNp,C161201095828D05,-54,
Izzy,2026-03-13 04:48:26+00:00,Annie,4yQn56IiUYYus6SW,C1612010759E9E2A,-41,
Izzy,2026-03-13 02:58:25+00:00,Blaise,fv09ZZRpUF9g2K1T,C1612010A1E09162,-66,
Izzy,2025-11-15 07:33:00+00:00,ShooShoo,rW8UmCvAsUE_mmMb,C1612010EDD05386,-80,
Izzy,2025-04-16 07:07:03+00:00,James,JxIClO41JAk38qdm,C1612010E10A319D,-82,
James,2024-08-19 17:16:32+00:00,Shinny,FJsyLYZTyUxCmF5w,C1612010B5EB60B7,-86,
James,2024-07-26 19:14:09+00:00,Callan,TOZc5ZikBKiDQSKc,C1612010B71B8436,-88,
James,2024-05-03 15:21:30+00:00,Pippah,1612iV90WrcA3tsH,C1612010BA0537FC,-89,
James,2024-04-22 23:39:18+00:00,Lotus,qxRhNrgO_Z1JXNMl,C1612010E2E8D66D,-84,
Kaelah,2026-03-13 23:43:10+00:00,Izzy,fR_XoQxn5Vetu7Oz,C161201068A42326,-31,
Kaelah,2026-03-13 23:43:10+00:00,Shinny,FJsyLYZTyUxCmF5w,C16120105756219F,-50,
